,original,cover
chroma_cens,0.08267874068465861,0.0848401686271301
chroma_cqt,0.366437968121173,0.3215157229797153
chroma_stft,0.6738385905034866,0.0855810401243812
melspectrogram,0.08404439752125535,0.016533174803760774
mfcc,-404.85527420498,-161.7284863530206
poly_features,-1.7709960646885305e-05,-0.00032788393292601867
rmse,0.06311415880918503,0.22561152279376984
spectral_bandwidth,2295.3695136387432,2499.9888484272797
spectral_centroid,1887.2753845212942,1825.2514724310465
spectral_contrast,14.363117712684643,24.58074064514976
spectral_flatness,0.0038317334838211536,0.0006958291050978005
spectral_rolloff,4188.2080078125,3574.51171875
tonnetz,0.20911536007756268,-0.1988992639221082
zero_crossing_rate,0.0322265625,0.0615234375
